qa_id,speech_id,qa_no,question,answer,created_at
14,120805261X00720220201_094,4,スクールサポートスタッフに委託できる仕事にはどのような制約がありますか？,権限がないため、指導という領域には入れず、委託できる仕事も限られています。,2026-01-16 06:40:59
15,120805261X00720220201_094,5,堀場委員は教員の働き方改革の解決策として何を提案していますか？,福祉的傾向の強い業務をほかにお願いするか学校の中に人を増やすかのどちらかだと思っております。,2026-01-16 06:40:59
16,120814324X00120220202_010,1,上鹿渡和宏君が述べた日本の子供たちの精神的幸福度について、順位は何位ですか？,精神的幸福度は三十七位です。,2026-01-16 06:41:09
17,120814324X00120220202_010,2,日本の社会的養護児童に関する問題は、誰によって社会的排除として位置付けられましたか？,ロジャー・グッドマン教授によって位置付けられました。,2026-01-16 06:41:09
18,120814324X00120220202_010,3,児童福祉法改正の影響は、社会的養護の子供たちにどのような変化をもたらしましたか？,システムとして大きな変化をしています。,2026-01-16 06:41:09
19,120814324X00120220202_010,4,一時保護所に行くことが子供にとって安全でない場合、どのような言葉が返されたか記載されていますか？,あそこに行くなら家でたたかれている方がましと言われました。,2026-01-16 06:41:09
20,120814324X00120220202_010,5,日本が目指している乳幼児の里親委託率は何％ですか？,乳幼児は里親委託率七五％を目指しています。,2026-01-16 06:41:09
21,120805262X00120220215_108,1,連合が目指す社会像は何ですか？,連合は、働くことを軸とする安心社会を目指しております。,2026-01-16 06:41:47
22,120805262X00120220215_108,2,雇用保険制度の財源は何ですか？,雇用保険制度は、労使の保険料と国庫負担を財源として政府が運営しています。,2026-01-16 06:41:47
23,120805262X00120220215_108,3,女性の雇用に関してコロナ禍で明らかになった問題は何ですか？,コロナ禍の影響で、非正規で働く労働者、とりわけ女性に大きく影響が出ています。,2026-01-16 06:41:47
24,120805262X00120220215_108,4,現在の国庫負担割合は何パーセントですか？,現在、国庫負担割合は二・五％となっています。,2026-01-16 06:41:47
25,120805262X00120220215_108,5,連合が提起する第二のセーフティーネットの目的は何ですか？,連合は、就労、生活支援を担う第二のネットの創設を提起しています。,2026-01-16 06:41:47
26,120805270X00120220216_061,1,湯原分科員はどの問題について提案を行っていますか？,学校の先生の長時間労働と教員不足に絡めて、学校がこうあったらいいという提案を行っています。,2026-01-16 06:41:55
27,120805270X00120220216_061,2,湯原分科員が日常的に目にしている学校の様子はどのようなものですか？,自宅に帰るときに小学校の前を通ると、毎日学校の電気がついていて、先生方が頑張っていらっしゃる様子を見ています。,2026-01-16 06:41:55
28,120805270X00120220216_061,3,湯原分科員が教育現場での先生方の労力についてどのように評価していますか？,先生がボランティア精神で子供たちのために活動しているが、その結果教育現場が大変な状況になっていると評価しています。,2026-01-16 06:41:55
29,120805270X00120220216_061,4,日本の学校の教員の労働時間は他国と比べてどうですか？,日本の中学校の教員は一週間当たり五十六時間働いており、他の参加国は三十八・三時間で、約二十時間の長時間労働がある実態です。,2026-01-16 06:41:55
30,120805270X00120220216_061,5,湯原分科員が提案している改善策は何ですか？,少人数学級の導入や、先生が受け持つ時間の上限を設定することを提案しています。,2026-01-16 06:41:55
31,120805270X00120220216_062,1,末松国務大臣はどちらの県の出身ですか？,兵庫県の出身でございます。,2026-01-16 06:42:03
32,120805270X00120220216_062,2,OECDの調査結果は何について明らかにしましたか？,我が国の教員について長時間勤務の実態が明らかになってございます。,2026-01-16 06:42:03
33,120805270X00120220216_062,3,小学校の持ち授業時数が多いことについて、文部科学省は何を進めていますか？,小学校における専科指導の実施に必要な教職員定数の改善を進めることによりまして、持ち時間数を軽減するための取組を進めております。,2026-01-16 06:42:03
34,120805270X00120220216_062,4,令和四年度予算には何が盛り込まれていますか？,小学校高学年の教科担任制を推進するための九百五十人の加配定数を盛り込んでいるところでございます。,2026-01-16 06:42:03
35,120805270X00120220216_062,5,末松国務大臣は今後どのような施策を進める意向ですか？,学校における働き方改革は進めてまいりたいというふうに思っております。,2026-01-16 06:42:03
36,120805270X00120220216_063,1,日本の教員はどの業務で負担がかかっているか？,書類作りであったり、部活であったり、こういったところが日本の先生は負担がかかっている。,2026-01-16 06:42:11
37,120805270X00120220216_063,2,アメリカの学校では誰が家庭訪問を行うのか？,アメリカでは、ソーシャルワーカー、スクールカウンセラーが家庭訪問を行う。,2026-01-16 06:42:11
38,120805270X00120220216_063,3,イギリスでは休憩時間や給食の時間に誰が子供たちの面倒を見ているか？,イギリスでは、担任の先生や教師以外の人が子供たちの面倒を見ている。,2026-01-16 06:42:11
39,120805270X00120220216_063,4,文科省は学校以外が担う業務についてどのように進めているか？,文科省は学校以外が担う業務、教師が担う必要のない業務、負担軽減が可能な業務を仕分けしている。,2026-01-16 06:42:11
40,120805270X00120220216_063,5,担任の先生が行うべきでない教育的な業務はどのようなものか？,教師がする必要のない業務を二十五項目確定させて、他の職員を拡充させてフォローしている。,2026-01-16 06:42:11
41,120805270X00120220216_121,1,理数教育の充実が重要な理由は何ですか？,国の将来の科学技術を担う人材を育成していくためには、初等中等教育段階から理数教育を充実し、科学技術への興味、関心を子供たちに持ってもらうことが極めて重要と考えております。,2026-01-16 06:42:20
42,120805270X00120220216_121,2,学習指導要領ではどのような観点が重視されていますか？,理科や算数、数学を学ぶことの意義、有用性の実感、興味、関心を高める観点からの日常生活や社会との関連を重視しています。,2026-01-16 06:42:20
43,120805270X00120220216_121,3,科学的探求する学習活動についての取り組みは何ですか？,見通しを持った観察、実験を行うなど、科学的に探求する学習活動を充実するといったことに取り組んでいるところです。,2026-01-16 06:42:20
44,120805270X00120220216_121,4,観察、実験の充実を図るために何をしていますか？,実験器具等の物的環境の整備、あるいは観察実験アシスタントの配置支援などを行っているところです。,2026-01-16 06:42:20
45,120805270X00120220216_121,5,文部科学省はどのように科学技術への興味、関心を高める計画ですか？,学習指導要領の着実な実施に努め、観察、実験に係る環境整備、アシスタントの配置支援などを通じまして、児童生徒の科学技術への興味、関心が高まるよう更に努めてまいりたいと考えております。,2026-01-16 06:42:20
46,120804601X00620220217_149,1,宮本（岳）委員は文科省の姿勢についてどう感じていますか？,文科省は財務省や総務省に言われて嫌々やらされているかのような話を聞いたことがあり、本当に情けない限りである。,2026-01-16 06:42:28
47,120804601X00620220217_149,2,宮本（岳）委員は今後どのような教育方針を進めるべきだと考えていますか？,これから少人数学級を進めていかなければならないと考えている。,2026-01-16 06:42:28
48,120804601X00620220217_149,3,宮本（岳）委員は少人数クラスの理想的な人数をどのように設定していますか？,二十人程度の一つのクラスのサイズに下げていくべきだと考えている。,2026-01-16 06:42:28
49,120804601X00620220217_149,4,教室の状況について、宮本（岳）委員はどのような懸念を持っていますか？,少人数クラスが進むと教室が足りなくなることがあり得ると懸念している。,2026-01-16 06:42:28
50,120804601X00620220217_149,5,宮本（岳）委員は統廃合に関してどのような意見を持っていますか？,安易な統廃合を進めるべきではないと思っている。,2026-01-16 06:42:28
51,120805261X01720220221_268,1,宮本委員が提案する二〇二二年度予算の撤回理由は何ですか？,岸田内閣が提案した二二年度予算案は、新自由主義からの転換どころか、新自由主義、アベノミクスの悪政を継承するものだからです.,2026-01-16 06:42:36
52,120805261X01720220221_268,2,新型コロナに関する提案はどのような内容ですか？,誰もが必要なときに検査を受けられる体制を確保し、発熱外来への補助金復活、コロナ対応の医療機関等への減収補填の直接支援と医療従事者の処遇改善を行うことです.,2026-01-16 06:42:36
53,120805261X01720220221_268,3,社会保障拡充の提案にはどのような内容がありますか？,高齢者医療費の二割負担の導入の中止、年金引下げの中止、地域医療構想に基づく病床削減や病院統廃合路線の撤回などです.,2026-01-16 06:42:36
54,120805261X01720220221_268,4,宮本委員の提案する経済政策の転換の目的は何ですか？,国民の暮らしを守る経済政策に転換することです.,2026-01-16 06:42:36
55,120805261X01720220221_268,5,不要不急の予算削減の例として挙げられているものは何ですか？,デジタル関連事業などの大企業を支援する予算、マイナンバー推進予算、カジノ関連予算などの削減です.,2026-01-16 06:42:36
56,120815261X00220220224_507,1,日本の理工農系学部への入学者の割合はOECD平均と比較してどうですか？,我が国の理工農系学部への入学者の割合は、OECD平均と比較して低い水準でございます。,2026-01-16 06:42:54
57,120815261X00220220224_507,2,2021年の日本の理工農系学部入学者の割合は何％ですか？,日本はちょうど、2021年で20.0％です。,2026-01-16 06:42:54
58,120815261X00220220224_507,3,文部科学省はどのような教育プログラムを計画していますか？,複数大学間の連携により、文系学部でも自然科学の素養を身に付けられる横断的な教育プログラムの整備等を促進する経費として15億円を計上しています。,2026-01-16 06:42:54
59,120815261X00220220224_507,4,教育未来創造会議はいつ第一次提言を取りまとめる予定ですか？,初夏までに第一次提言を取りまとめる予定です。,2026-01-16 06:42:54
60,120815261X00220220224_507,5,文系学生が数学を学ばなくても良いという既成概念について何が指摘されていますか？,文系の学生が数学やらなくてもいいという既成概念ができてしまっており、数学が不得意な学生は文系に行くという問題があります。,2026-01-16 06:42:54
61,120805124X00220220302_000,1,会議はいつ開かれましたか？,令和四年三月二日（水曜日）午前九時開議,2026-01-16 06:43:01
62,120805124X00220220302_000,2,出席した文部科学大臣は誰ですか？,末松　信介君,2026-01-16 06:43:01
63,120805124X00220220302_000,3,委員の異動に関して、尾身朝子君はどうなりましたか？,辞任し、高木宏壽君が補欠選任されました,2026-01-16 06:43:01
64,120805124X00220220302_000,4,令和四年二月二十八日に付託された請願の一つは何ですか？,学費負担の軽減のための私大助成の大幅な増額に関する請願,2026-01-16 06:43:01
65,120805124X00220220302_000,5,本日の会議に付した案件は何ですか？,政府参考人出頭要求に関する件、文部科学行政の基本施策に関する件,2026-01-16 06:43:01
66,120805124X00220220302_138,1,吉田委員は資料をどのように扱ってほしいとお願いしましたか？,裏返しにしておいていただければと思います。,2026-01-16 06:43:17
67,120805124X00220220302_138,2,英語のスピーキングテストの対象は誰ですか？,八万人の公立の中学三年生全員と都立高校入試者です。,2026-01-16 06:43:17
68,120805124X00220220302_138,3,スピーキングテストの音声や結果はどこに送られますか？,フィリピンに拠点を置く企業に送られます。,2026-01-16 06:43:17
69,120805124X00220220302_138,4,今後、英語のスピーキング能力に関してどのような取り組みがあると吉田委員は考えていますか？,全国に広がる可能性のある問題で、グローバル人材を育てることが大事だと思います。,2026-01-16 06:43:17
70,120805124X00220220302_138,5,大学入学共通テストの英語民間試験が見送りになった理由は何ですか？,入試制度としての公平性、公正性に問題があるという疑問があったからです。,2026-01-16 06:43:17
71,120815262X00120220308_035,1,公述人は平等と公平の違いについてどのように考えていますか？,私は平等と公平ということは違うのではないかというふうに思っております。,2026-01-16 06:43:26
72,120815262X00120220308_035,2,学校教育現場におけるリソースの配分が平等過ぎるとどうなると言っていますか？,リソースの配分を平等にし過ぎるということは、かえって公平性を損なうということもあるのではないかということなんですね。,2026-01-16 06:43:26
73,120815262X00120220308_035,3,少人数学級についての議論において、どのような前提が存在すると指摘されましたか？,三十五人学級、先生一人に対して子供が三十五人ということが前提として議論されています。,2026-01-16 06:43:26
74,120815262X00120220308_035,4,大きな学級サイズが学力の高い子供たちにとってどのような利点がありますか？,学級サイズが大きいことはむしろプラスになるということを示した研究があります。,2026-01-16 06:43:26
75,120815262X00120220308_035,5,公述人は公平であることの意味をどのように説明していますか？,必要な人に必要なことを届けるということこそが全ての人にとって最も生産性が高くなるということを意味しているのではないかなというふうに思うんですね。,2026-01-16 06:43:26
76,120815104X00220220308_141,1,片山大介君は今日、何の資料を用意していないと言っていますか？,ちょっと今日、資料とか用意していないので、ほかの委員の方は分かりづらいと思うんですけど,2026-01-16 06:43:33
77,120815104X00220220308_141,2,全体の感染者は現在どう見られていますか？,全体の感染者が今ある程度ピークを越えたというふうには見られているわけですけど,2026-01-16 06:43:33
78,120815104X00220220308_141,3,休校や学級閉鎖の数はどのように変化していますか？,休校の数、学級閉鎖の数も減ってきているというんですけど,2026-01-16 06:43:33
79,120815104X00220220308_141,4,文科省は休校の基準をどのように変更しましたか？,休園の、休校にするときの基準、五日から七日を五日間に短縮していいだとかやっていて,2026-01-16 06:43:33
80,120815104X00220220308_141,5,片山大介君はデータ分析に関して何を求めていますか？,その分析、このデータから見えてくるもの、こうなった背景とかというのを少し何か、もう少し教えていただければと思いますけど,2026-01-16 06:43:33
81,120815261X01020220309_079,1,福島みずほ君がデータに盛り込むと言った内容は何ですか？,通知簿、通知簿に書かれている性格、出席日数、学力テストの成績です。,2026-01-16 06:43:41
82,120815261X01020220309_079,2,通知簿に書かれているものは何ですか？,性格、出席日数、学力テストの成績です。,2026-01-16 06:43:41
83,120815261X01020220309_079,3,データ化される内容は何ですか？,通知簿、通知簿に書かれている性格、出席日数、学力テストの成績です。,2026-01-16 06:43:41
84,120815261X01020220309_079,4,福島みずほ君はどのようなデータを具体的に述べましたか？,通知簿、通知簿に書かれている性格、出席日数、学力テストの成績です。,2026-01-16 06:43:41
85,120815261X01020220309_079,5,学力テストの成績はどのデータに含まれていますか？,通知簿に書かれているデータの一部です。,2026-01-16 06:43:41
86,120815261X01020220309_081,1,福島みずほは何を配布していますか？,資料をお配りしています。,2026-01-16 06:43:47
87,120815261X01020220309_081,2,教育データの中に何が書いてあると言っていますか？,勤務先、収入、全部書いてあるじゃないですか。,2026-01-16 06:43:47
88,120815261X01020220309_081,3,福島みずほは計画を進めることについてどのような意見を持っていますか？,何をデータ化するか分からなくて計画進めるなんてむちゃですよ。,2026-01-16 06:43:47
89,120815261X01020220309_081,4,福島みずほは通知簿についてどのようなデータが含まれると述べていますか？,性格、出席日数、学力テストの成績、親の勤務先、収入、データ化されますね。,2026-01-16 06:43:47
90,120815261X01020220309_081,5,福島みずほはどのように政府からの情報を評価していますか？,政府からもらったポンチ絵に全部書いてあるじゃないですか。,2026-01-16 06:43:47
91,120815104X00320220316_133,1,現在、教職員の数はどうなっていますか？,全体としては減らされている、差引きしたら三千人減っているというのが現状です。,2026-01-16 06:43:53
92,120815104X00320220316_133,2,教教職員増を求めている理由は何ですか？,仕事が増えるばかりで予算が増えないことへの怒りの声、アンケートにも届いております。,2026-01-16 06:43:53
93,120815104X00320220316_133,3,吉良よし子君は何を求めていますか？,抜本的に教職員増やす、予算を拡充することを強く求めています。,2026-01-16 06:43:53
94,120815104X00320220316_133,4,教科担任制や少人数学級についての現状はどうですか？,教科担任制、少人数学級増やしているところもあるけれども、全体としては減らされている。,2026-01-16 06:43:53
95,120815104X00320220316_133,5,予算についてどのような意見がありますか？,仕事が増えるばかりで予算が増えないことへの怒りの声、アンケートにも届いております。,2026-01-16 06:43:53
96,120805124X00320220316_000,1,令和四年三月十六日の会議は何時に開議されましたか？,午後三時開議,2026-01-16 06:44:11
97,120805124X00320220316_000,2,委員長は誰ですか？,義家　弘介君,2026-01-16 06:44:11
98,120805124X00320220316_000,3,委員の異動において、誰が辞任しましたか？,船田　元君、古川　直季君、荒井　優君,2026-01-16 06:44:11
99,120805124X00320220316_000,4,教育費負担の公私間格差をなくすことに関する請願は何号ですか？,第三二九号から第四二九号まで,2026-01-16 06:44:11
100,120805124X00320220316_000,5,本日の会議に付した案件は何ですか？,博物館法の一部を改正する法律案（内閣提出第三一号）,2026-01-16 06:44:11
101,120805124X00420220323_000,1,令和四年三月二十三日に出席した委員は誰ですか？,委員長 義家 弘介君、理事 橘 慶一郎君、理事 根本 幸典君、理事 宮内 秀樹君、理事 山本ともひろ君、理事 菊田真紀子君、理事 牧 義夫君、理事 三木 圭恵君、理事 浮島 智子君、青山 周平君、石井 拓君、石橋林太郎君、尾身 朝子君、勝目 康君、金子 俊平君、神田 憲次君、木原 稔君、国光あやの君、小林 茂樹君、柴山 昌彦君、下村 博文君、谷川 弥一君、土田 慎君、丹羽 秀樹君、船田 元君、古川 直季君、松本 剛明君、三谷 英弘君、山口 晋君、荒井 優君、坂本祐之輔君、白石 洋一君、吉川 元君、吉田はるみ君、笠 浩史君、早坂 敦君、堀井 健智君、岬 麻紀君、山崎 正恭君、鰐淵 洋子君、西岡 秀子君、宮本 岳志君が出席しました。,2026-01-16 06:44:29
102,120805124X00420220323_000,2,三月二十三日の委員の異動はどのようなものでしたか？,三月二十三日に辞任したのは下村 博文君、田野瀬太道君、山口 晋君で、補欠選任されたのは石井 拓君、金子 俊平君、土田 慎君です。同日、辞任したのは石井 拓君、金子 俊平君、土田 慎君で、補欠選任されたのは下村 博文君、田野瀬太道君、山口 晋君です。,2026-01-16 06:44:29
103,120805124X00420220323_000,3,三月二十二日に提案された請願の内容は何ですか？,教育費負担の公私間格差をなくし、子供たちに行き届いた教育を求める私学助成に関する請願が提案されました。,2026-01-16 06:44:29
104,120805124X00420220323_000,4,本日の会議に付した案件は何ですか？,政府参考人出頭要求に関する件、博物館法の一部を改正する法律案（内閣提出第三一号）が本日の会議に付した案件です。,2026-01-16 06:44:29
105,120805124X00420220323_000,5,誰が文部科学大臣ですか？,文部科学大臣は末松 信介君です。,2026-01-16 06:44:29
106,120815104X00420220405_027,1,教育格差の要因として何が指摘されていますか？,家庭での教育をするかしないか、できるかできないかによって、子供たちの間で学力格差が開いているというのは事実だと思います。,2026-01-16 06:44:47
107,120815104X00420220405_027,2,宮口治子君はどのような子供の取り残されについて言及していますか？,この環境下で取り残されている子供を少しでも減らさなければいけないと思います。,2026-01-16 06:44:47
108,120815104X00420220405_027,3,フォローアップの方策について宮口治子君はどのように考えていますか？,複数学年にまたがった習熟度別のフォローアップやデジタル技術などを活用した習熟度コンテンツの提供など、様々議論していく余地はあると思うんですけれども、,2026-01-16 06:44:47
109,120815104X00420220405_027,4,宮口治子君の発言にはどのような提案が含まれていますか？,複数学年にまたがった習熟度別のフォローアップやデジタル技術などを活用した習熟度コンテンツの提供など、様々議論していく余地はあると思います。,2026-01-16 06:44:47
110,120815104X00420220405_027,5,この発言で宮口治子君は何を検討しているか尋ねていますか？,そのフォローアップの方策というのは検討されているんでしょうか。,2026-01-16 06:44:47
111,120815104X00420220405_081,1,片山大介君はどのような考え方を広めたいと思っていますか？,こういう考え方はやっぱりもっと広めていっていいと思うんですよね。,2026-01-16 06:44:53
112,120815104X00420220405_081,2,片山大介君は大学で何を学んでいたのですか？,私は、実際理系の人間だったんですけど、大学は。,2026-01-16 06:44:53
113,120815104X00420220405_081,3,片山大介君が高校の文理に関してどのように感じているか教えてください。,高校もこの文理の縦割りなんですよね。,2026-01-16 06:44:53
114,120815104X00420220405_081,4,高校のカリキュラム進行はどのように影響を受けていますか？,高校は、もう大学のその受験に合わせた形で高校もカリキュラム進んでいきますから、,2026-01-16 06:44:53
115,120815104X00420220405_081,5,片山大介君は教育の在り方について何を提案していますか？,もしその考え方、本当に今の教育の在り方を少し変える話にもなってくるので、,2026-01-16 06:44:53
116,120815104X00420220405_082,1,社会の変化において、何が不可欠とされていますか？,特定分野に関する知識、技能だけではなくて、多分野に関する理解であるとか新たなことを学んで挑戦する意欲を育むことが不可欠でございます。,2026-01-16 06:45:02
117,120815104X00420220405_082,2,高等学校で必履修とされる教科は何ですか？,国語、地理歴史、公民、数学、理科、外国語及び情報科が必履修教科として定められています。,2026-01-16 06:45:02
118,120815104X00420220405_082,3,普通科の高校生についての問題点は何ですか？,高校生の約七割が在籍する普通科において、多くの生徒が文系、理系に分かれて、二年次以降、特定の教科について十分に学習しない傾向があるということです。,2026-01-16 06:45:02
119,120815104X00420220405_082,4,文系、理系にとらわれない学びを促進するためにどのような取り組みが行われますか？,学際的な学びに重点的に取り組む学科の設置や、文理横断型のリベラルアーツ教育を推進する拠点校の整備などが行われます。,2026-01-16 06:45:02
120,120815104X00420220405_082,5,新学期から予定されている制度改正の主な目的は何ですか？,文系、理系の類型にとらわれない学びを促進するための制度改正です。,2026-01-16 06:45:02
121,120805124X00720220406_131,1,笠委員は少人数学級について何を強調していますか？,笠委員は少人数学級をやらないといけないと強調しています。,2026-01-16 06:45:08
122,120805124X00720220406_131,2,教職員を増やすことに関して笠委員はどのような現実を述べていますか？,教職員を増やすことは財務省相手に進んでいくことができないという現実があると述べています。,2026-01-16 06:45:08
123,120805124X00720220406_131,3,笠委員は現在の教師たちの待遇についてどのように述べていますか？,笠委員は教師の待遇や環境を改善することが重要だと述べています。,2026-01-16 06:45:08
124,120805124X00720220406_131,4,教師を目指す人たちの状況について笠委員はどう述べていますか？,教師になりたいという人たちがどんどん減っていると述べています。,2026-01-16 06:45:08
125,120805124X00720220406_131,5,笠委員は大臣に対してどのようなことを求めていますか？,笠委員は大臣に政治的なリーダーシップを発揮することを求めています。,2026-01-16 06:45:08
126,120805124X00820220408_056,1,荒井委員が考える学校における一番大切なことは何ですか？,心理的安全性だと思っています。,2026-01-16 06:45:14
127,120805124X00820220408_056,2,荒井委員は、教育委員会に対してどのような方法で現場の経験を認めてほしいと述べていますか？,積極的に、前広に現場の経験というものを含めて認めていっていただきたいです。,2026-01-16 06:45:14
128,120805124X00820220408_056,3,荒井委員が心理的安全性を高めるためにどのようなことを求めていますか？,校長先生と現場の先生たちの対話が、指導する場ではなく、心理的安全性を高めるような対話であることをお願いしたいです。,2026-01-16 06:45:14
129,120805124X00820220408_056,4,この記事によると、どの時点で日本で学力格差が芽生えるとされていますか？,小学校四年生からと書いてあります。,2026-01-16 06:45:14
130,120805124X00820220408_056,5,荒井委員が教育格差の問題にどのように向き合うべきだと考えていますか？,教育の格差について、どういうふうに向き合っていくのかが文科行政にとって一番大事なことだと思っています。,2026-01-16 06:45:14
131,120815352X00120220411_084,1,吉良よし子君は、何を踏まえた実態調査を求めていますか？,年度後半の方が深刻化しているとの声を踏まえた実態調査を求めています。,2026-01-16 06:45:20
132,120815352X00120220411_084,2,教員不足解消において重要だと吉良よし子君が述べていることは何ですか？,都道府県等が教員採用を計画的に中長期的見通しを持って行うことが重要だと述べています。,2026-01-16 06:45:20
133,120815352X00120220411_084,3,教職員定数を予算で措置しているのは誰ですか？,国、具体的には文科省です。,2026-01-16 06:45:20
134,120815352X00120220411_084,4,国は少子化を理由にして何をしてきたと吉良よし子君は指摘していますか？,教職員定数を減らし続けてきたと指摘しています。,2026-01-16 06:45:20
135,120815352X00120220411_084,5,吉良よし子君は、教職員定数についてどう考えていますか？,基礎定数をどんどん減らすべきではないと考えています。,2026-01-16 06:45:20
136,120804260X01420220415_053,1,吉田委員は今の制度についてどのように感じていますか？,胸を張ってつくった制度で緊急改定を挟まなきゃいけない時点で、これはかなりもうやばい状況だと私は思います。,2026-01-16 06:45:28
137,120804260X01420220415_053,2,厚生労働省の説明者は今回の高騰について何と言い訳しましたか？,今回は特別急激な高騰だったからしようがないんですと言い訳をされていました。,2026-01-16 06:45:28
138,120804260X01420220415_053,3,吉田委員は金とパラジウムの価格についての見解を持っていますか？,金、パラジウムに関しては、ここ数年の間にも、数学的にはほぼ同程度の高騰を数回しています。,2026-01-16 06:45:28
139,120804260X01420220415_053,4,今回の緊急改定は特別な状況だと厚生労働省は主張していますが、吉田委員はどう考えていますか？,今回だけが特別だと何回も言っていましたよ、レクに来られた方が。でも、これは違いますよ。,2026-01-16 06:45:28
140,120804260X01420220415_053,5,吉田委員は今後の制度についてどのように考えていますか？,このまま制度を維持して、今のまま対応していくことによって成り立っていくならいいと思います。,2026-01-16 06:45:28
141,120805124X00920220415_000,1,会議はいつ開かれましたか？,令和四年四月十五日（金曜日）午前九時開議,2026-01-16 06:45:44
142,120805124X00920220415_000,2,出席している委員の中に文部科学大臣は誰ですか？,文部科学大臣は末松信介君です,2026-01-16 06:45:44
143,120805124X00920220415_000,3,四月十四日に提案された法律案は何ですか？,国際卓越研究大学の研究及び研究成果の活用のための体制の強化に関する法律案（内閣提出第三五号）,2026-01-16 06:45:44
144,120805124X00920220415_000,4,勝目康君はどのような異動がありましたか？,勝目康君は辞任し、西野太亮君が補欠選任されました,2026-01-16 06:45:44
145,120805124X00920220415_000,5,本日の会議に付した案件は何ですか？,政府参考人出頭要求に関する件、国際卓越研究大学の研究及び研究成果の活用のための体制の強化に関する法律案（内閣提出第三五号）、文部科学行政の基本施策に関する件,2026-01-16 06:45:44
146,120805124X00920220415_050,1,道下委員はどの国を視察したと述べていますか？,北欧のノルウェーとアメリカのワシントン、ニューヨーク、サンフランシスコを視察しました。,2026-01-16 06:45:51
147,120805124X00920220415_050,2,道下委員が考える少人数学級の妥当な人数は何人ですか？,大体二十人程度の少人数学級が妥当だと思っています。,2026-01-16 06:45:51
148,120805124X00920220415_050,3,昨年度からどのような学級の形態が始まったと述べていますか？,小学校における段階的な三十五人学級が小二から始まりました。,2026-01-16 06:45:51
149,120805124X00920220415_050,4,道下委員は萩生田文部科学大臣に何を質問したか？,三十五人という少人数学級をもっと、三十人、そして二十人と推進すべきではないかという質問をしました。,2026-01-16 06:45:51
150,120805124X00920220415_050,5,道下委員は文部科学省の少人数学級推進に対してどのような意欲を期待していますか？,文部科学大臣、末松大臣のこの少人数学級に向けた意欲を示していただきたいと思っています。,2026-01-16 06:45:51
151,120805124X00920220415_052,1,道下委員は末松大臣にどのような答弁を求めましたか？,更なる推進をして、子供たちの教育、また学力含めて、また学び、育ちというものを推進していくんだという力強い御答弁をいただきたいと求めました。,2026-01-16 06:45:59
152,120805124X00920220415_052,2,道下委員は三十五人学級による教育効果についてどう考えていますか？,もっと少人数学級にしないと効果は表れないと考えています。,2026-01-16 06:45:59
153,120805124X00920220415_052,3,道下委員が三十五人学級の効果を測る難しさについて何を述べましたか？,五人減った程度の教育効果はどれだけ測れるのかが問題であると述べました。,2026-01-16 06:45:59
